1	EYW157		11.58		50.00		8.24		1714.26
1	CUE766		5.84		54.68		28.66		1093.58
1	GLL243		11.42		70.19		29.88		446.84
1	JCX224		12.42		71.82		22.79		831.64
1	CQE326		6.82		55.72		35.15		1857.95
1	EYE403		7.30		61.20		34.04		874.15
1	KHF080		14.76		84.85		20.23		1656.50
2	EYW157		8.62		53.31		8.01		822.47
2	CUE766		12.85		51.74		13.73		788.28
2	GLL243		11.87		74.63		39.45		1569.47
2	JCX224		5.47		36.04		18.93		344.09
2	CQE326		6.58		86.00		24.51		829.88
2	EYE403		11.19		49.99		38.93		1692.03
2	KHF080		14.34		78.45		19.81		1854.61
3	EYW157		11.34		63.04		28.67		1882.91
3	CUE766		8.10		86.62		21.36		1497.81
3	GLL243		9.95		63.92		7.77		250.50
3	JCX224		12.62		59.54		21.44		1419.16
3	CQE326		14.85		40.34		22.34		284.75
3	EYE403		6.27		69.07		31.21		628.74
3	KHF080		10.06		56.01		33.62		808.75
4	EYW157		14.02		75.68		30.39		1216.01
4	CUE766		9.45		65.27		6.44		339.77
4	GLL243		11.70		31.87		38.62		1392.86
4	JCX224		11.56		65.24		2.67		703.92
4	CQE326		11.50		83.03		35.85		1719.84
4	EYE403		5.80		45.38		6.43		1944.49
4	KHF080		8.74		85.73		4.48		636.63
5	EYW157		9.79		34.63		27.25		464.15
5	CUE766		9.90		63.66		15.49		1186.07
5	GLL243		8.01		66.02		13.09		350.83
5	JCX224		11.80		40.96		7.35		1071.71
5	CQE326		11.69		58.74		2.21		77.35
5	EYE403		12.22		33.05		37.87		1869.55
5	KHF080		9.91		37.80		6.95		344.88
6	EYW157		11.54		75.05		33.87		1573.30
6	CUE766		12.02		31.12		19.34		1229.98
6	GLL243		5.85		47.58		13.78		323.25
6	JCX224		11.26		64.12		21.62		575.53
6	CQE326		11.13		80.14		3.09		1409.32
6	EYE403		9.64		71.87		1.65		1585.63
6	KHF080		8.82		32.00		32.64		1577.25
7	EYW157		14.06		88.64		12.16		1763.51
7	CUE766		12.53		30.50		24.89		489.05
7	GLL243		13.72		55.09		39.87		1004.00
7	JCX224		6.06		86.98		35.89		1477.10
7	CQE326		8.74		82.80		35.50		979.52
7	EYE403		12.70		50.06		34.32		1601.72
7	KHF080		10.03		36.43		26.70		1789.50
8	EYW157		5.65		76.58		36.30		862.86
8	CUE766		10.45		53.31		1.76		1843.80
8	GLL243		9.88		59.90		11.02		715.34
8	JCX224		7.16		80.55		32.29		979.95
8	CQE326		5.05		55.78		25.42		1837.85
8	EYE403		5.30		49.65		10.68		844.09
8	KHF080		9.84		85.74		3.54		1155.65
9	EYW157		12.80		88.62		16.54		545.53
9	CUE766		7.38		37.92		36.91		57.19
9	GLL243		6.60		51.58		24.94		1515.18
9	JCX224		12.09		85.45		36.74		1914.55
9	CQE326		9.95		45.86		9.53		1667.49
9	EYE403		7.63		62.27		14.95		896.93
9	KHF080		11.11		36.63		11.57		756.70
10	EYW157		6.19		76.55		19.17		1879.02
10	CUE766		13.20		89.00		18.84		1006.49
10	GLL243		8.97		81.49		33.55		1792.24
10	JCX224		5.32		47.61		5.33		1022.95
10	CQE326		7.96		83.72		1.45		79.84
10	EYE403		14.97		33.78		14.97		902.09
10	KHF080		8.93		89.13		9.02		446.54
11	EYW157		11.66		80.09		16.06		620.66
11	CUE766		5.72		86.27		5.63		1910.54
11	GLL243		11.78		42.49		33.70		1660.87
11	JCX224		5.71		67.16		36.24		1050.46
11	CQE326		14.76		89.93		14.06		1918.50
11	EYE403		6.60		85.67		10.56		1465.62
11	KHF080		10.45		31.43		5.47		1805.42
12	EYW157		14.39		53.41		23.14		599.95
12	CUE766		7.73		60.75		32.49		1645.27
